问题,内容
工商年报的填报时间,每年的1月30日至6月30日进行上一年度的年度报告填写。
工商年报的填写方式,电脑端进入国家企业信用信息公示系统官网，选择内蒙古，输入营业执照上的统一社会信用代码及验证码进行填写。移动端可扫描营业执照上的二维码，选择内蒙古，输入营业执照上的统一社会信用代码及验证码进行填写。
营业执照因未做年报被列入异常,需先将年报补充完整，个体工商户需前往所管辖的市场监督管理所解除异常；公司需要前往青山区市场监督管理局办理。
银行撤户和注销营业执照的顺序,正常情况下，需要先进行银行撤户手续再来办理营业执照的注销，因为有些银行进行撤户时需要提供营业执照原件，一旦将营业执照注销将无法向银行提供营业执照原件，所以应先进行银行撤户。
店招牌匾可以不设置蒙文吗,可以。蒙文视情况而定，可加可不加。
店铺墙体上可以安装牌匾吗,不可以。
住宅办理营业执照需要注意的事项,除产权证明（房产证、购买合同、村委会证明）、租赁合同、房东身份证复印件、经营者身份证原件外，还需额外提供包头市青山区“住宅（非商业用房）”登记为市场主体住所（经营场所）利害关系业主同意备案表。
企业职工退休时间如何确定,申报单位按时为参保人员申报退休(退职)且符合受理条件的，参保人员的退休时间按达到国家规定退休年龄的时间确定;凡是未按时申报的，参保人员的退休时间以审批时间确定。
两病”的申报条件、流程,持本人社会保障卡、定点医疗机构的医师开具的疾病诊断证明、门诊就医手册及相关检验检查报告单，在本人参保所在地医疗保障局或辖区内认定两病的一级医疗机构，填写《包头市城乡居民医疗保险糖尿病、高血压患者认定表》办理，通过认定的人员，次月享受相应待遇，可选择一家一级定点医疗机构（社区卫生服务中心）报销药费。对“两病”参保患者门诊发生的降血压、降血糖药品费用，由城乡居民医保统筹基金按50%支付每年最高支付限额高血压300元、糖尿病600元，两病合并的执行最高支付限额600元。
生育月津贴标准,津贴日标准：2023年7月至2024年6月为199.17元（2024年7月至2025年6月为216.13元）顺产津贴天数98天（多一胎增加15天），剖宫产津贴天数113天（多一胎增加15天），4个月以下流产津贴天数15天，4个月以上7个月以下引产津贴天数42天，宫外孕津贴天数15天。
